                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"                     1.00000E+000                     6.00000E-001                     9.00000E-001                       "gfortran"                         "12.2.0"           "x86_64-macos-22.10.1"                       "20241209" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48 
                    model_number                              age                      period_days                binary_separation                             rl_1                             rl_2                    rl_overflow_1                    rl_overflow_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 ignore_rlof_flag                          ET_RL_1                          ET_RL_2                        ET_surf_1                        ET_surf_2                contact_condition               stopping_condition              mtransfer_timescale                                q                pre_zams_or_relax                  runtime_minutes                 had_RLOF_at_ZAMS                           had_ET                      had_contact 
                              10                     5.45902E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51587E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -8.99404E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              11                     7.46967E+003                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51475E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.87780E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              12                     1.01841E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51390E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.01995E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46053E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              13                     1.38485E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51338E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -6.50328E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46054E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              14                     1.87954E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51333E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -6.45768E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46054E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              15                     2.54738E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51398E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.09913E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46054E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23213E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              16                     3.44897E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51574E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -8.86242E+029                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46055E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              17                     4.66611E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19975E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.51943E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.25520E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46055E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              18                     6.30925E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.52643E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.95516E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46056E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              19                     8.52748E+004                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.53898E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -3.21065E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46056E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              20                     1.15221E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.56050E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -5.36269E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46057E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              21                     1.55648E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.59583E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -8.89560E+030                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46058E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              22                     2.10225E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39729E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01361E+049                     6.21353E+051                    -3.65129E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -1.44414E+031                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46058E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              23                     2.83904E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85244E-001                    -5.19974E-001                    -6.39728E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45871E+049                     2.01362E+049                     6.21353E+051                    -3.73423E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -2.27358E+031                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46058E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              24                     3.83371E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85243E-001                    -5.19974E-001                    -6.39728E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45873E+049                     2.01362E+049                     6.21353E+051                    -3.85204E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -3.45163E+031                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46055E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              25                     5.17650E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85243E-001                    -5.19975E-001                    -6.39728E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45875E+049                     2.01363E+049                     6.21353E+051                    -4.01051E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -5.03638E+031                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46047E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              26                     6.98928E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01105E+000                    -9.85242E-001                    -5.19976E-001                    -6.39727E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45880E+049                     2.01364E+049                     6.21353E+051                    -4.21258E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -7.05702E+031                     0.00000E+000                     1.00000E+000                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.46025E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                              27                     9.43653E+005                     9.00000E-001                     4.58817E+000                     1.94443E+000                     1.54010E+000                    -1.01106E+000                    -9.85240E-001                    -5.19980E-001                    -6.39726E-001                     1.00000E+000                     6.00000E-001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     6.13880E+051                     5.45889E+049                     2.01366E+049                     6.21353E+051                    -4.45794E+032                     0.00000E+000                    -3.50688E+032                     0.00000E+000                    -9.51068E+031                     0.00000E+000                     9.99999E-001                     1.00000E+000                                1                                1                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     5.45976E-002                    -1.00000E+000                     0.00000E+000                     6.00000E-001                     1.00000E+000                     1.23214E+004                     0.00000E+000                     0.00000E+000                     0.00000E+000 
