                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20241202"                     5.00000E+001                     1.00000E+003                     1.98841E+033                     6.95700E+010                     3.82800E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                                 log_Lnuc                                  extra_L                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                             he_core_mass                             co_core_mass                            envelope_mass                   envelope_fraction_left                        dynamic_timescale                             kh_timescale                           mdot_timescale                   kh_div_mdot_timescales                            nuc_timescale                                 log_Teff                                    log_L                                   radius                                    log_g                             lum_div_Ledd                    surface_optical_depth                             log_center_T                           log_center_Rho                             log_center_P                                center_ye                                center_h1                               center_he4                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                             total_energy                            rel_run_E_err                   total_angular_momentum                              i_rot_total                              num_retries                                num_iters                            delta_shu_top                            delta_shu_mid                        frac_ET_thickness                     thickness_bernouilli                    thermal_eq_difference                             model_number                                      age                              period_days                        binary_separation                                     rl_1                                     rl_2                            rl_overflow_1                            rl_overflow_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                 J_spin_1                                 J_spin_2                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                        P_rot_div_P_orb_1                        P_rot_div_P_orb_2                              donor_index                         ignore_rlof_flag                                  ET_RL_1                                  ET_RL_2                                ET_surf_1                                ET_surf_2                        contact_condition                       stopping_condition                      mtransfer_timescale                                        q                        pre_zams_or_relax                          runtime_minutes                         had_RLOF_at_ZAMS                                   had_ET                              had_contact 
                                       1                                     1079                     1.00000E+002                     2.00000E+000                     3.00000E+001                    -9.90000E+001                     1.57103E+001                     5.23621E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.40415E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.08778E+034                     3.05387E+034                                        6                     5.45032E-002                                        5                     2.01787E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.09879E-003                     2.60810E+004                     3.00000E+100                     8.69368E-097                     2.62645E+006                     4.59969E+000                     5.05775E+000                     7.11455E+000                     4.21089E+000                     4.31079E-001                     6.66667E-001                     7.58365E+000                     5.60905E-001                     1.63884E+001                     8.56791E-001                     7.13581E-001                     2.71884E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.73330E+050                    -7.98001E-013                     5.76396E+052                     1.21888E+057                                        0                                        8                                        0                                        0                                        0                                        0                     2.90658E+000                     1.00000E+000                     1.00000E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.19429E+000                    -1.21980E+000                    -1.43738E-001                    -1.54048E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.76396E+052                     4.57036E+052                     3.10273E+054                    -1.73786E+037                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.00869E+000                     1.00816E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.31080E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34352E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       2                                     1079                     2.35000E+002                     2.13033E+000                     3.00000E+001                    -9.90000E+001                     1.68083E+001                     5.59275E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.38750E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.07599E+034                     3.04418E+034                                        6                     5.23349E-002                                        5                     1.99400E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.10718E-003                     2.62330E+004                     3.00000E+100                     8.74433E-097                     2.65519E+006                     4.59741E+000                     5.05303E+000                     7.15073E+000                     4.20649E+000                     4.29514E-001                     6.66667E-001                     7.58009E+000                     5.49651E-001                     1.63737E+001                     8.56829E-001                     7.13656E-001                     2.71812E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.71193E+050                    -1.60445E-012                     5.87591E+052                     1.23742E+057                                        0                                        8                                        0                                        0                                        0                                        0                     2.48963E+000                     2.00000E+000                     2.35000E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.15811E+000                    -1.18551E+000                    -1.39383E-001                    -1.49717E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.87591E+052                     4.65903E+052                     3.10474E+054                    -1.90627E+041                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -1.90609E+041                     0.00000E+000                     1.00591E+000                     1.00601E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.60356E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34354E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       3                                     1076                     4.17250E+002                     2.26067E+000                     3.00000E+001                    -9.90000E+001                     1.77744E+001                     5.91872E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.33133E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.02834E+034                     3.00982E+034                                        6                     4.51580E-002                                        5                     1.90709E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.11684E-003                     2.63657E+004                     3.00000E+100                     8.78858E-097                     2.68414E+006                     4.59497E+000                     5.04832E+000                     7.19228E+000                     4.20146E+000                     4.28039E-001                     6.66667E-001                     7.57630E+000                     5.37790E-001                     1.63582E+001                     8.56857E-001                     7.13714E-001                     2.71754E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.68932E+050                    -2.39470E-012                     5.96869E+052                     1.25767E+057                                        0                                        8                                        0                                        0                                        0                                        0                     1.90425E+000                     3.00000E+000                     4.17250E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.11656E+000                    -1.14538E+000                    -1.34382E-001                    -1.44649E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.96869E+052                     4.73703E+052                     3.10645E+054                    -1.55753E+041                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -1.55735E+041                     0.00000E+000                     1.00663E+000                     1.00688E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.84587E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34355E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       4                                     1074                     6.63288E+002                     2.39100E+000                     3.00000E+001                    -9.90000E+001                     1.80759E+001                     6.02341E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.21358E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.92328E+034                     2.91901E+034                                        6                     3.10784E-002                                        5                     1.72159E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.12476E-003                     2.64055E+004                     3.00000E+100                     8.80183E-097                     2.70087E+006                     4.59327E+000                     5.04562E+000                     7.22623E+000                     4.19736E+000                     4.27310E-001                     6.66667E-001                     7.57370E+000                     5.29800E-001                     1.63477E+001                     8.56858E-001                     7.13715E-001                     2.71743E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.67373E+050                    -3.19415E-012                     6.05191E+052                     1.27221E+057                                        0                                        8                                        0                                        0                                        0                                        0                     9.00390E-001                     4.00000E+000                     6.63288E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.08261E+000                    -1.10928E+000                    -1.30296E-001                    -1.40090E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.05191E+052                     4.81166E+052                     3.10803E+054                    -8.79703E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -8.79530E+040                     0.00000E+000                     1.00516E+000                     1.00596E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     3.50975E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34357E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       5                                     1073                     9.95438E+002                     2.52134E+000                     3.00000E+001                    -9.90000E+001                     1.78796E+001                     5.94211E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.08833E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.80700E+034                     2.82133E+034                                        6                     1.79580E-002                                        5                     1.52417E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.12921E-003                     2.63220E+004                     3.00000E+100                     8.77399E-097                     2.69942E+006                     4.59276E+000                     5.04585E+000                     7.24527E+000                     4.19508E+000                     4.27200E-001                     6.66667E-001                     7.57298E+000                     5.27840E-001                     1.63449E+001                     8.56847E-001                     7.13694E-001                     2.71755E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.66915E+050                    -3.98180E-012                     6.09826E+052                     1.27704E+057                                        0                                        4                                        0                                        0                                        0                                        0                     2.81897E-001                     5.00000E+000                     9.95438E+002                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.06357E+000                    -1.08533E+000                    -1.28005E-001                    -1.37065E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.09826E+052                     4.86132E+052                     3.10899E+054                    -2.64665E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                    -2.64491E+040                     0.00000E+000                     1.00251E+000                     1.00360E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.85687E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34358E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       6                                     1070                     1.44384E+003                     2.65167E+000                     3.00000E+001                    -9.90000E+001                     1.71829E+001                     5.71552E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     4.99869E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.71725E+034                     2.74250E+034                                        6                     1.01191E-002                                        5                     1.38227E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.12990E-003                     2.61155E+004                     3.00000E+100                     8.70516E-097                     2.67934E+006                     4.59348E+000                     5.04909E+000                     7.24823E+000                     4.19473E+000                     4.28616E-001                     6.66667E-001                     7.57417E+000                     5.31983E-001                     1.63501E+001                     8.56835E-001                     7.13670E-001                     2.71772E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.67580E+050                    -4.78131E-012                     6.09708E+052                     1.27172E+057                                        0                                        8                                        0                                        0                                        0                                        0                     3.50967E-001                     6.00000E+000                     1.44384E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.06061E+000                    -1.07505E+000                    -1.27649E-001                    -1.35768E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.09708E+052                     4.87425E+052                     3.10910E+054                     1.12718E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     1.12892E+040                     0.00000E+000                     9.99658E-001                     1.00093E+000                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.92756E-003                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34360E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       7                                     1070                     2.04919E+003                     2.78200E+000                     3.00000E+001                    -9.90000E+001                     1.63684E+001                     5.45491E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     4.96020E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.67561E+034                     2.69936E+034                                        6                     7.34839E-003                                        5                     1.31905E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.12684E-003                     2.58245E+004                     3.00000E+100                     8.60816E-097                     2.64470E+006                     4.59529E+000                     5.05475E+000                     7.23514E+000                     4.19630E+000                     4.30862E-001                     6.66667E-001                     7.57697E+000                     5.41141E-001                     1.63619E+001                     8.56820E-001                     7.13640E-001                     2.71798E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.69202E+050                    -5.53742E-012                     6.05080E+052                     1.25770E+057                                        0                                        8                                        0                                        0                                        0                                        0                     5.01691E-001                     7.00000E+000                     2.04919E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.07370E+000                    -1.08000E+000                    -1.29224E-001                    -1.36392E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     6.05080E+052                     4.84837E+052                     3.10838E+054                     2.93964E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     2.94138E+040                     0.00000E+000                     9.96911E-001                     9.98018E-001                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     9.20918E-004                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34361E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       8                                     1073                     2.86640E+003                     2.91234E+000                     3.00000E+001                    -9.90000E+001                     1.57890E+001                     5.24925E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     4.97337E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.68086E+034                     2.69849E+034                                        6                     8.46591E-003                                        5                     1.33497E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.12068E-003                     2.55566E+004                     3.00000E+100                     8.51888E-097                     2.60772E+006                     4.59761E+000                     5.06086E+000                     7.20874E+000                     4.19947E+000                     4.33109E-001                     6.66667E-001                     7.58047E+000                     5.52292E-001                     1.63764E+001                     8.56799E-001                     7.13597E-001                     2.71840E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.71275E+050                    -6.25783E-012                     5.97385E+052                     1.23955E+057                                        0                                        8                                        0                                        0                                        0                                        0                     4.20576E-001                     8.00000E+000                     2.86640E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.10010E+000                    -1.10052E+000                    -1.32401E-001                    -1.38983E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.97385E+052                     4.78949E+052                     3.10702E+054                     3.08667E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     3.08841E+040                     0.00000E+000                     9.94974E-001                     9.95370E-001                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     2.41834E-004                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34362E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
                                       9                                     1073                     3.96964E+003                     3.04267E+000                     3.00000E+001                    -9.90000E+001                     1.55913E+001                     5.19689E-001                     7.81285E-008                     1.00000E+000                     1.00000E+000                                        0                     1.00000E+000                                        5                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                                       -1                     1.00000E+000                     5.01015E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     1.70626E+034                     2.72154E+034                                        6                     1.14386E-002                                        5                     1.38815E-001                     0.00000E+000                     0.00000E+000                     3.00000E+001                     1.00000E+000                     1.11281E-003                     2.54342E+004                     3.00000E+100                     8.47806E-097                     2.58306E+006                     4.59966E+000                     5.06499E+000                     7.17494E+000                     4.20355E+000                     4.34482E-001                     6.66667E-001                     7.58351E+000                     5.61684E-001                     1.63887E+001                     8.56767E-001                     7.13534E-001                     2.71904E-001                     7.15500E-001                     2.70271E-001                     2.44729E-003                     7.17343E-004                     6.66017E-003                    -2.73111E+050                    -7.01532E-012                     5.89142E+052                     1.22324E+057                                        0                                        8                                        0                                        0                                        0                                        0                     2.40014E-001                     9.00000E+000                     3.96964E+003                     1.52000E+000                     2.14104E+001                     8.30884E+000                     7.91834E+000                    -1.13390E+000                    -1.13312E+000                    -1.36469E-001                    -1.43101E-001                     3.00000E+001                     2.70000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                    -9.90000E+001                     1.00000E+000                     1.00000E+000                     2.99939E+054                     5.89142E+052                     4.71528E+052                     3.10546E+054                     2.20954E+040                     0.00000E+000                    -1.73786E+037                     0.00000E+000                     2.21128E+040                     0.00000E+000                     9.94456E-001                     9.93896E-001                     1.00000E+000                     1.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     0.00000E+000                     8.10465E-005                    -1.00000E+000                     0.00000E+000                     9.00000E-001                     1.00000E+000                     2.34364E+003                     0.00000E+000                     0.00000E+000                     0.00000E+000 
